part_id,eq_id,part_production_date,part_type,part_weight,part_material,part_color,part_dimensions,part_cost,part_quality_grade,part_purity
PART00001,EQUIP001,2023-09-13,Type A,98.85,Copper,Red,10x10x10,311.48,D,p-0.95
PART00002,EQUIP001,2023-07-10,Type A,8.49,Steel,Red,10x10x10,365.72,C,p-0.941
PART00003,EQUIP001,2024-04-22,Type A,1.32,Steel,Blue,25x25x25,374.21,C,p-0.945
PART00004,EQUIP001,2024-03-21,Type A,39.92,Copper,Green,15x15x15,411.87,C,p-0.946
PART00005,EQUIP001,2024-01-21,Type A,49.7,Aluminum,Red,20x20x20,210.53,B,p-0.952
PART00006,EQUIP001,2024-05-24,Type A,34.46,Steel,Green,15x15x15,402.96,D,p-0.954
PART00007,EQUIP001,2024-05-18,Type A,62.03,Steel,Black,25x25x25,116.01,A,p-0.943
PART00008,EQUIP001,2024-03-19,Type A,13.6,Plastic,Blue,15x15x15,295.65,C,p-0.947
PART00009,EQUIP001,2024-01-03,Type A,23.71,Plastic,Green,25x25x25,454.07,D,p-0.949
PART00010,EQUIP001,2023-08-25,Type A,52.21,Copper,Black,10x10x10,181.03,B,p-0.95
PART00011,EQUIP001,2024-01-30,Type A,18.96,Aluminum,Blue,20x20x20,119.81,C,p-0.956
PART00012,EQUIP001,2023-11-23,Type A,64.6,Plastic,Black,15x15x15,163.29,C,p-0.944
PART00013,EQUIP001,2023-11-13,Type A,82.09,Plastic,Blue,10x10x10,175.92,B,p-0.945
PART00014,EQUIP001,2023-09-19,Type A,56.18,Steel,Red,10x10x10,31.93,A,p-0.951
PART00015,EQUIP001,2024-05-07,Type A,72.93,Aluminum,Red,25x25x25,496.94,C,p-0.954
PART00016,EQUIP001,2023-09-23,Type A,95.76,Aluminum,Blue,25x25x25,196.26,D,p-0.945
PART00017,EQUIP001,2023-10-20,Type A,38.99,Steel,Red,25x25x25,345.49,A,p-0.952
PART00018,EQUIP001,2023-09-22,Type A,69.16,Copper,Green,10x10x10,191.19,D,p-0.953
PART00019,EQUIP001,2023-11-05,Type A,27.23,Steel,Green,10x10x10,352.37,B,p-0.958
PART00020,EQUIP001,2023-11-07,Type A,41.57,Steel,Blue,15x15x15,72.79,A,p-0.946
PART00021,EQUIP001,2023-11-14,Type A,97.42,Copper,Blue,25x25x25,421.34,D,p-0.943
PART00022,EQUIP001,2024-05-03,Type A,79.98,Plastic,Red,10x10x10,169.96,D,p-0.959
PART00023,EQUIP001,2024-02-14,Type A,21.6,Steel,Black,15x15x15,45.82,D,p-0.948
PART00024,EQUIP001,2024-01-18,Type A,23.83,Plastic,Red,10x10x10,301.42,B,p-0.95
PART00025,EQUIP001,2024-01-20,Type A,66.01,Plastic,Blue,25x25x25,445.41,D,p-0.949
PART00026,EQUIP001,2023-10-15,Type A,86.07,Plastic,Blue,15x15x15,56.35,D,p-0.947
PART00027,EQUIP001,2024-02-12,Type A,16.25,Steel,Black,15x15x15,202.25,B,p-0.942
PART00028,EQUIP001,2024-05-09,Type A,96.63,Steel,Red,10x10x10,394.79,B,p-0.95
PART00029,EQUIP001,2024-04-08,Type A,27.54,Aluminum,Red,10x10x10,227.67,C,p-0.959
PART00030,EQUIP001,2024-03-05,Type A,38.71,Plastic,Black,15x15x15,169.88,B,p-0.956
PART00031,EQUIP001,2023-08-21,Type A,53.74,Aluminum,Green,20x20x20,133.02,C,p-0.952
PART00032,EQUIP001,2023-08-05,Type A,34.99,Copper,Black,10x10x10,42.07,D,p-0.95
PART00033,EQUIP001,2024-04-21,Type A,72.25,Plastic,Black,15x15x15,367.46,A,p-0.943
PART00034,EQUIP001,2023-07-25,Type A,50.74,Plastic,Blue,15x15x15,391.97,C,p-0.948
